week,home_id,home_score,away_id,away_score
1,7,114.5,9,87.0
1,11,99.7,5,147.98
1,1,115.66,3,83.04
1,12,107.9,4,123.44
1,6,118.3,10,130.12
1,8,129.12,2,92.1
2,9,110.4,5,134.96
2,3,82.08,7,106.28
2,1,141.24,11,141.32
2,4,121.2,10,94.6
2,2,111.66,12,117.08
2,8,133.54,6,151.24
3,3,143.9,9,118.5
3,5,140.6,1,156.9
3,7,86.38,11,111.22
3,2,75.48,4,89.88
3,10,119.18,8,127.68
3,12,106.54,6,142.7
4,9,89.54,1,126.02
4,11,141.7,3,92.8
4,7,149.84,5,105.34
4,4,97.18,8,108.6
4,6,96.12,2,140.62
4,12,99.8,10,102.3
5,11,111.34,9,86.74
5,1,151.6,7,104.88
5,3,115.78,5,88.7
5,6,129.2,4,94.24
5,8,131.0,12,134.56
5,2,115.22,10,113.96
6,9,94.32,4,97.0
6,7,120.68,12,130.72
6,5,97.74,10,126.2
6,3,121.84,2,88.48
6,1,134.34,8,77.62
6,11,135.44,6,83.22
7,4,90.8,7,89.52
7,12,154.28,5,109.4
7,10,131.76,3,103.02
7,2,108.98,1,104.56
7,8,144.88,11,103.02
7,6,169.8,9,67.12
8,5,117.86,4,124.74
8,3,123.44,12,109.62
8,1,128.62,10,87.24
8,11,76.74,2,72.16
8,9,76.04,8,176.5
8,7,81.78,6,89.96
9,4,119.98,3,96.2
9,12,104.34,1,91.7
9,10,99.64,11,123.06
9,2,122.9,9,115.3
9,8,150.78,7,103.06
9,6,81.0,5,73.54
10,1,145.96,4,86.66
10,11,61.18,12,75.88
10,9,109.6,10,129.82
10,7,93.02,2,109.56
10,5,100.36,8,86.64
10,3,89.32,6,151.0
11,4,99.82,11,117.58
11,12,117.8,9,86.74
11,10,138.66,7,82.68
11,2,117.62,5,86.22
11,8,135.48,3,137.88
11,6,96.26,1,115.34
12,4,117.88,9,103.54
12,12,131.74,7,92.84
12,10,128.72,5,112.58
12,2,104.98,3,149.9
12,8,98.02,1,122.3
12,6,82.1,11,106.1
13,7,55.2,4,80.62
13,5,122.4,12,141.66
13,3,79.96,10,95.14
13,1,135.58,2,106.3
13,11,85.42,8,155.78
13,9,86.0,6,110.92
